4	0.00937	0.156208194	0.00016
3	0.00914	0.102961158	0.00016
2.5	0.00892	0.090144329	0.00015
2	0.00882	0.078108898	0.00015
1.5	0.00856	0.067275553	0.00015
1.2	0.00847	0.04119466	0.00015
1	0.0084	0.036069378	0.00015
0.8	0.0083	0.031256999	0.00014
0.6	0.00823	0.020615528	0.00014
0.5	0.00817	0.01805547	0.00014
0.4	0.00813	0.015652476	0.00014
0.34	0.00808	0.014319218	0.00014
0.3	0.00805	0.01034408	0.00014
0.28	0.00802	0.009826495	0.00014
0.25	0.00794	0.009069179	0.00014
0.23	0.00785	0.008579627	0.00014
0.21	0.00767	0.008104937	0.00014
0.2	0.00753	0.007874008	0.00013
0.15	0.0058	0.006800735	0.00011
0.1	0.00237	0.00509902	0.00006
